Series,Subset,Date,Season,Site,Latitude,Longitude,Transect,Transects,Station,Temperature,Visbility,Depth,DepthRange,Replicate,Species,Phase,Size,Abundance,a,b,allometric,Biomass,Holdfast Use,Blade Use ,Cover,Frondosity
17,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,15,1,0.0208,2.969,64.54733011,64.54733011,0,0,NA,NA
18,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,15,1,0.0208,2.969,64.54733011,64.54733011,0,0,NA,NA
19,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,2,15,15,11.7,15,NA,Cheilodactylusvariegatus,NA,16,1,0.0208,2.969,78.17998153,78.17998153,0,0,NA,NA
20,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,3,15,15,14.6,15,NA,Chromiscrusma,NA,4,1,0.0278,2.826,1.397868542,1.397868542,0,0,NA,NA
21,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,4,15,15,8,10,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
22,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,1,5,15,15,7.7,10,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
23,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,2,6,15,15,5,5,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
24,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,2,7,15,15,7,10,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
25,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,2,8,15,15,6.6,10,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
26,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,2,9,15,15,5.9,10,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
27,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,1,2,10,15,15,4,5,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
28,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,1,15,15,12,15,NA,Cheilodactylusvariegatus,NA,25,1,0.0208,2.969,294.1353489,294.1353489,0,0,NA,NA
29,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,23,1,0.0208,2.969,229.6324609,229.6324609,0,0,NA,NA
30,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,18,1,0.0208,2.969,110.9091566,110.9091566,0,0,NA,NA
31,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
32,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,15,1,0.0208,2.969,64.54733011,64.54733011,0,0,NA,NA
33,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,20,1,0.0208,2.969,151.6426594,151.6426594,0,0,NA,NA
34,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,18,1,0.0208,2.969,110.9091566,110.9091566,0,0,NA,NA
35,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
36,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Girellalaevifrons,NA,40,1,0.0088,3.16,1016.230546,1016.230546,0,0,NA,NA
37,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Girellalaevifrons,NA,45,1,0.0088,3.16,1474.464143,1474.464143,0,0,NA,NA
38,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,2,15,15,12,15,NA,Girellalaevifrons,NA,40,1,0.0088,3.16,1016.230546,1016.230546,0,0,NA,NA
39,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,40,1,0.0108,3.067,884.9968989,884.9968989,0,0,NA,NA
40,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,35,1,0.0108,3.067,587.5981875,587.5981875,0,0,NA,NA
41,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,35,1,0.0108,3.067,587.5981875,587.5981875,0,0,NA,NA
42,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,40,1,0.0108,3.067,884.9968989,884.9968989,0,0,NA,NA
43,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,35,1,0.0108,3.067,587.5981875,587.5981875,0,0,NA,NA
44,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,36,1,0.0108,3.067,640.6244728,640.6244728,0,0,NA,NA
45,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,35,1,0.0108,3.067,587.5981875,587.5981875,0,0,NA,NA
46,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,50,1,0.0108,3.067,1754.546,1754.546,0,0,NA,NA
47,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,3,15,15,11.6,15,NA,Aplodactyluspunctatus,NA,30,1,0.0108,3.067,366.2306128,366.2306128,0,0,NA,NA
48,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,4,15,15,11.6,15,NA,Cheilodactylusvariegatus,NA,20,1,0.0208,2.969,151.6426594,151.6426594,0,1,NA,NA
49,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,4,15,15,11.6,15,NA,Cheilodactylusvariegatus,NA,12,1,0.0208,2.969,33.27763504,33.27763504,0,0,NA,NA
50,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,4,15,15,11.6,15,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
51,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,4,15,15,11.6,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
52,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,5,15,15,10.4,15,NA,Cheilodactylusvariegatus,NA,20,1,0.0208,2.969,151.6426594,151.6426594,0,0,NA,NA
53,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,5,15,15,10.4,15,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
54,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,5,15,15,10.4,15,NA,Cheilodactylusvariegatus,NA,27,1,0.0208,2.969,369.6428846,369.6428846,0,1,NA,NA
55,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,5,15,15,10.4,15,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
56,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,3,5,15,15,10.4,15,NA,Cheilodactylusvariegatus,NA,20,1,0.0208,2.969,151.6426594,151.6426594,0,0,NA,NA
57,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
58,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
59,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
60,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
61,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
62,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
63,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
64,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
65,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
66,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
67,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
68,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
69,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
70,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
71,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
72,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
73,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
74,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
75,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
76,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
77,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
78,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
79,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
80,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
81,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,7,15,15,4.8,5,NA,Chromiscrusma,NA,3,1,0.0278,2.826,0.61999682,0.61999682,0,0,NA,NA
82,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,6,15,15,4.6,5,NA,Girellalaevifrons,NA,40,1,0.0088,3.16,1016.230546,1016.230546,0,0,NA,NA
83,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,6,15,15,4.6,5,NA,Girellalaevifrons,NA,35,1,0.0088,3.16,666.404149,666.404149,0,0,NA,NA
84,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,6,15,15,4.6,5,NA,Girellalaevifrons,NA,30,1,0.0088,3.16,409.4358222,409.4358222,0,0,NA,NA
85,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,8,15,15,5,5,NA,Cheilodactylusvariegatus,NA,25,1,0.0208,2.969,294.1353489,294.1353489,0,0,NA,NA
86,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,9,15,15,5,5,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
87,Fish,27deMarzo,Fall2012,TotoralilloOA,-30.0939569,-71.37972619,2,4,10,15,15,5,5,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
88,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,1,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
89,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,1,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
90,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
91,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
92,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
93,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
94,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
95,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
96,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
97,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
98,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
99,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
100,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
101,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
102,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,12,1,0.0278,2.826,31.17532555,31.17532555,0,1,NA,NA
103,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,2,15,10,16.1,20,NA,Chromiscrusma,NA,20,1,0.0278,2.826,132.0552171,132.0552171,1,0,NA,NA
104,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,3,15,10,16.9,20,NA,Cheilodactylusvariegatus,NA,30,1,0.0208,2.969,505.4012832,505.4012832,0,0,NA,NA
105,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,4,15,10,16.9,20,NA,Aplodactyluspunctatus,NA,25,1,0.0108,3.067,209.3658102,209.3658102,0,0,NA,NA
106,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,4,15,10,16.9,20,NA,Aplodactyluspunctatus,NA,30,1,0.0108,3.067,366.2306128,366.2306128,0,0,NA,NA
107,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,4,15,10,16.9,20,NA,Aplodactyluspunctatus,NA,3,1,0.0108,3.067,0.313873495,0.313873495,0,0,NA,NA
108,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,1,5,15,10,16.9,20,NA,NA,NA,0,0,#N/A,#N/A,#N/A,NA,0,0,NA,NA
109,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Aplodactyluspunctatus,NA,13,1,0.0108,3.067,28.17656304,28.17656304,0,0,NA,NA
110,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Aplodactyluspunctatus,NA,10,1,0.0108,3.067,12.60154386,12.60154386,0,0,NA,NA
111,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Aplodactyluspunctatus,NA,25,1,0.0108,3.067,209.3658102,209.3658102,0,0,NA,NA
112,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Aplodactyluspunctatus,NA,12,1,0.0108,3.067,22.04309829,22.04309829,0,0,NA,NA
113,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Aplodactyluspunctatus,NA,25,1,0.0108,3.067,209.3658102,209.3658102,1,0,NA,NA
114,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,1,0,NA,NA
115,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,6,15,10,13.3,15,NA,Cheilodactylusvariegatus,NA,35,1,0.0208,2.969,798.7325048,798.7325048,0,0,NA,NA
116,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,7,15,10,10,10,NA,Cheilodactylusvariegatus,NA,40,1,0.0208,2.969,1187.351894,1187.351894,0,1,NA,NA
117,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,8,15,10,10,10,NA,Chromiscrusma,NA,10,1,0.0278,2.826,18.62279214,18.62279214,0,1,NA,NA
118,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,9,15,10,10,10,NA,Aplodactyluspunctatus,NA,15,1,0.0108,3.067,43.70142988,43.70142988,0,1,NA,NA
119,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,9,15,10,10,10,NA,Aplodactyluspunctatus,NA,5,1,0.0108,3.067,1.503712323,1.503712323,0,1,NA,NA
120,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,9,15,10,10,10,NA,Semicossyphusdarwini,NA,45,1,0.0134,2.971,1093.450624,1093.450624,0,1,NA,NA
121,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,10,15,10,10,10,NA,Chromiscrusma,NA,2,1,0.0278,2.826,0.19713129,0.19713129,0,0,NA,NA
122,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,10,15,10,10,10,NA,Chromiscrusma,NA,2,1,0.0278,2.826,0.19713129,0.19713129,0,0,NA,NA
123,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,10,15,10,10,10,NA,Chromiscrusma,NA,2,1,0.0278,2.826,0.19713129,0.19713129,0,0,NA,NA
124,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,10,15,10,10,10,NA,Chromiscrusma,NA,2,1,0.0278,2.826,0.19713129,0.19713129,0,0,NA,NA
125,Fish,29deMarzo,Fall2012,PuntatalcaAMERB,-30.87694613,-71.68518531,1,2,10,15,10,10,10,NA,Chromiscrusma,NA,2,1,0.0278,2.826,0.19713129,0.19713129,0,0,NA,NA
