serie,Survey,Habitat,Exposure,Site,Zone,Sampler,Date,Transect,Station-replicate,Depth,Pseudoreplicate,Species,Abundance,Width,Stipes,High 1,High 2,Mean High,Length,Frondosity,comentario,Data_Entry,Num_parches
50,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,2,8.3,2,Lessonia trabeculata,1,37,14,na,na,#¡DIV/0!,56,,,,
51,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,2,8.3,2,Lessonia trabeculata,1,22,8,na,na,#¡DIV/0!,60,1,,,
52,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,3,8.3,1,Lessonia trabeculata,1,16,3,na,na,#¡DIV/0!,47,4,,,
53,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,3,8.3,2,Lessonia trabeculata,1,22,5,na,na,#¡DIV/0!,81,4,,,
54,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,4,8.3,1,Lessonia trabeculata,1,24,5,na,na,#¡DIV/0!,48,2,,,
55,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,4,8.3,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,roca,,
56,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,5,8.3,1,Lessonia trabeculata,1,26,2,na,na,#¡DIV/0!,15,5,,,
57,1,kelp,protected,Quintay,shallow,keko,11-11-15,1,5,8.3,2,Lessonia trabeculata,1,50,26,na,na,#¡DIV/0!,46,5,coalescente,,
58,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,1,6,1,Lessonia trabeculata,1,55,16,na,na,#¡DIV/0!,24,5,,,
59,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,1,6,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,roca,,
60,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,2,6,1,Lessonia trabeculata,1,20,6,na,na,#¡DIV/0!,57,4,,,
61,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,2,6,1,Lessonia trabeculata,1,30,10,na,na,#¡DIV/0!,57,4,,,
62,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,2,6,2,Lessonia trabeculata,1,26,7,na,na,#¡DIV/0!,67,4,,,
63,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,3,6,1,Lessonia trabeculata,1,15,1,na,na,#¡DIV/0!,36,3,,,
64,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,3,6,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,roca,,
65,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,4,6,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
66,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,4,6,2,Lessonia trabeculata,1,28,8,na,na,#¡DIV/0!,50,5,,,
67,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,5,6,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
68,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,5,6,2,Lessonia trabeculata,1,30,7,na,na,#¡DIV/0!,46,4,,,
69,1,kelp,protected,Quintay,shallow,keko,11-11-15,2,5,6,2,Lessonia trabeculata,1,38,11,na,na,#¡DIV/0!,42,5,,,
70,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,1,5.4,1,Lessonia trabeculata,1,33,13,na,na,#¡DIV/0!,90,5,,,
71,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,1,5.4,2,Lessonia trabeculata,1,50,34,na,na,#¡DIV/0!,63,5,,,
72,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,1,5.4,2,Lessonia trabeculata,1,44,24,na,na,#¡DIV/0!,72,5,,,
73,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,2,5.4,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
74,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,2,5.4,2,Lessonia trabeculata,1,26,3,na,na,#¡DIV/0!,30,4,,,
75,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,3,5.4,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
76,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,3,5.4,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
77,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,4,5.4,1,Lessonia trabeculata,1,20,3,na,na,#¡DIV/0!,50,4,,,
78,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,4,5.4,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
79,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,5,5.4,1,Lessonia trabeculata,1,26,12,na,na,#¡DIV/0!,61,5,,,
80,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,5,5.4,1,Lessonia trabeculata,1,27,9,na,na,#¡DIV/0!,42,4,,,
81,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,5,5.4,1,Lessonia trabeculata,1,23,4,na,na,#¡DIV/0!,50,3,,,
82,1,kelp,protected,Quintay,shallow,keko,11-11-15,3,5,5.4,2,Lessonia trabeculata,1,23,3,na,na,#¡DIV/0!,30,5,,,
83,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,1,16-18,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
84,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,1,16-18,2,Lessonia trabeculata,1,10,3,na,na,#¡DIV/0!,40,3,,,
85,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,1,16-18,2,Lessonia trabeculata,1,35,14,na,na,#¡DIV/0!,30,5,,,
86,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,1,16-18,2,Lessonia trabeculata,1,40,16,na,na,#¡DIV/0!,30,5,,,
87,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,2,16-18,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
88,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,2,16-18,2,Lessonia trabeculata,1,30,4,na,na,#¡DIV/0!,37,3,,,
89,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,2,16-18,2,Lessonia trabeculata,1,29,1,na,na,#¡DIV/0!,40,3,,,
90,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,2,16-18,2,Lessonia trabeculata,1,30,8,na,na,#¡DIV/0!,60,5,,,
91,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,2,16-18,2,Lessonia trabeculata,1,30,8,na,na,#¡DIV/0!,60,5,,,
92,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,3,16-18,1,Lessonia trabeculata,1,22,8,na,na,#¡DIV/0!,,4,,,
93,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,3,16-18,1,Lessonia trabeculata,1,42,11,na,na,#¡DIV/0!,,5,,,
94,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,3,16-18,2,Lessonia trabeculata,1,40,,na,na,#¡DIV/0!,,5,,,
95,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,3,16-18,2,Lessonia trabeculata,1,40,,na,na,#¡DIV/0!,,5,,,
96,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,4,16-18,1,Lessonia trabeculata,1,32,,na,na,#¡DIV/0!,,5,,,
97,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,4,16-18,1,Lessonia trabeculata,1,11,2,na,na,#¡DIV/0!,,,,,
98,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,4,16-18,2,Lessonia trabeculata,1,28,4,na,na,#¡DIV/0!,,4,,,
99,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,4,16-18,2,Lessonia trabeculata,1,42,13,na,na,#¡DIV/0!,,5,,,
100,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,5,16-18,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
101,1,kelp,exposed,Quintay,deep,keko,05-04-16,1,5,16-18,2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
102,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,1,19-20,1,Lessonia trabeculata,1,46,9,na,na,#¡DIV/0!,30,5,,,
103,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,1,19-20,1,Lessonia trabeculata,1,34,16,na,na,#¡DIV/0!,27,5,,,
104,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,1,19-20,2,Lessonia trabeculata,1,32,16,na,na,#¡DIV/0!,,5,,,
105,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,1,19-20,2,Lessonia trabeculata,1,33,,na,na,#¡DIV/0!,,5,,,
106,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,2,19-20,1,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
107,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,2,19-20,2,Lessonia trabeculata,1,10,5,na,na,#¡DIV/0!,,4,,,
108,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,2,19-20,2,Lessonia trabeculata,1,35,6,na,na,#¡DIV/0!,50,5,,,
109,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,2,19-20,2,Lessonia trabeculata,1,20,4,na,na,#¡DIV/0!,,5,,,
110,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,3,19-20,1,Lessonia trabeculata,1,18,2,na,na,#¡DIV/0!,36,4,,,
111,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,3,19-20,1,Lessonia trabeculata,1,26,7,na,na,#¡DIV/0!,,5,,,
112,1,kelp,exposed,Quintay,deep,keko,05-04-16,2,3,19-20,2,Lessonia trabeculata,1,31,7,na,na,#¡DIV/0!,50,5,,,
113,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,1,"17,2-12",1,Lessonia trabeculata,1,32,6,na,na,#¡DIV/0!,40,5,,,
114,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,1,"17,2-12",1,Lessonia trabeculata,1,29,4,na,na,#¡DIV/0!,25,5,,,
115,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,1,"17,2-12",2,Lessonia trabeculata,1,15,3,na,na,#¡DIV/0!,,,,,
116,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,1,"17,2-12",2,Lessonia trabeculata,1,30,4,na,na,#¡DIV/0!,20,5,,,
117,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,1,"17,2-12",2,Lessonia trabeculata,1,30,9,na,na,#¡DIV/0!,30,5,,,
118,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,2,"17,2-12",1,Lessonia trabeculata,1,24,7,na,na,#¡DIV/0!,50,5,,,
119,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,2,"17,2-12",1,Lessonia trabeculata,1,40,,na,na,#¡DIV/0!,,5,,,
120,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,2,"17,2-12",2,Lessonia trabeculata,1,27,,na,na,#¡DIV/0!,,5,,,
121,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,3,"17,2-12",1,Lessonia trabeculata,1,40,13,na,na,#¡DIV/0!,,5,,,
122,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,3,"17,2-12",1,Lessonia trabeculata,1,28,4,na,na,#¡DIV/0!,,5,,,
123,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,3,"17,2-12",2,Lessonia trabeculata,1,38,,na,na,#¡DIV/0!,,5,,,
124,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,3,"17,2-12",2,Lessonia trabeculata,1,40,,na,na,#¡DIV/0!,,5,,,
125,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,4,"17,2-12",1,Lessonia trabeculata,1,26,5,na,na,#¡DIV/0!,40,4,,,
126,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,4,"17,2-12",1,Lessonia trabeculata,1,24,,na,na,#¡DIV/0!,34,5,,,
127,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,4,"17,2-12",2,Lessonia trabeculata,0,0,0,na,na,#¡DIV/0!,0,0,,,
128,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,5,"17,2-12",1,Lessonia trabeculata,1,23,12,na,na,#¡DIV/0!,,5,,,
129,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,5,"17,2-12",1,Lessonia trabeculata,1,26,,na,na,#¡DIV/0!,60,5,,,
130,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,5,"17,2-12",2,Lessonia trabeculata,1,36,,na,na,#¡DIV/0!,,5,,,
131,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,5,"17,2-12",2,Lessonia trabeculata,1,33,,na,na,#¡DIV/0!,,5,,,
132,1,kelp,exposed,Quintay,deep,keko,05-04-16,3,5,"17,2-12",2,Lessonia trabeculata,1,50,,na,na,#¡DIV/0!,,5,coalescente,,
133,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,1,1,"10-8,2",1,Lessonia trabeculata,1,18,9,na,na,#¡DIV/0!,70,5,,,
134,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,1,"10-8,2",1,Lessonia trabeculata,1,26,14,na,na,#¡DIV/0!,20,5,,,
135,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,1,"10-8,2",2,Lessonia trabeculata,1,50,,na,na,#¡DIV/0!,50,5,,,
136,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,2,"10-8,2",1,Lessonia trabeculata,1,50,,na,na,#¡DIV/0!,,5,coalescente,,
137,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,2,"10-8,2",1,Lessonia trabeculata,1,50,,na,na,#¡DIV/0!,,5,,,
138,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,2,"10-8,2",2,Lessonia trabeculata,1,15,3,na,na,#¡DIV/0!,,5,,,
139,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,2,"10-8,2",2,Lessonia trabeculata,1,24,12,na,na,#¡DIV/0!,50,5,,,
140,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,2,"10-8,2",2,Lessonia trabeculata,1,30,12,na,na,#¡DIV/0!,,5,,,
141,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",1,Lessonia trabeculata,1,28,7,na,na,#¡DIV/0!,,5,,,
142,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",1,Lessonia trabeculata,1,12,7,na,na,#¡DIV/0!,,5,,,
143,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",1,Lessonia trabeculata,1,45,11,na,na,#¡DIV/0!,,5,,,
144,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",1,Lessonia trabeculata,1,10,4,na,na,#¡DIV/0!,,5,,,
145,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",2,Lessonia trabeculata,1,20,15,na,na,#¡DIV/0!,,5,,,
146,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",2,Lessonia trabeculata,1,15,,na,na,#¡DIV/0!,100,5,,,
147,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,3,"10-8,2",2,Lessonia trabeculata,1,30,,na,na,#¡DIV/0!,,5,,,
148,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,4,"10-8,2",1,Lessonia trabeculata,1,15,,na,na,#¡DIV/0!,,5,,,
149,1,kelp,exposed,Quintay,shallow,cata,13-04-16,1,4,"10-8,2",2,Lessonia trabeculata,1,22,7,na,na,#¡DIV/0!,70,4,,,
150,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,1,"8,5-6,9",1,Lessonia trabeculata,1,17,8,na,na,#¡DIV/0!,,4,,,
151,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,1,"8,5-6,9",1,Lessonia trabeculata,1,12,3,na,na,#¡DIV/0!,,1,,,
152,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,1,"8,5-6,9",2,Lessonia trabeculata,1,30,,na,na,#¡DIV/0!,,5,,,
153,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,2,"8,5-6,9",1,Lessonia trabeculata,1,18,3,na,na,#¡DIV/0!,,4,,,
154,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,2,"8,5-6,9",1,Lessonia trabeculata,1,7,1,na,na,#¡DIV/0!,,1,,,
155,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,2,"8,5-6,9",2,Lessonia trabeculata,1,30,10,na,na,#¡DIV/0!,70,3,,,
156,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,2,"8,5-6,9",2,Lessonia trabeculata,1,25,9,na,na,#¡DIV/0!,80,4,,,
157,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,3,"8,5-6,9",1,Lessonia trabeculata,1,19,13,na,na,#¡DIV/0!,30,5,,,
158,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,3,"8,5-6,9",2,Lessonia trabeculata,1,23,8,na,na,#¡DIV/0!,23,2,,,
159,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,3,"8,5-6,9",2,Lessonia trabeculata,1,19,10,na,na,#¡DIV/0!,25,3,,,
160,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,4,"8,5-6,9",1,Lessonia trabeculata,1,38,,na,na,#¡DIV/0!,40,5,,,
161,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,4,"8,5-6,9",2,Lessonia trabeculata,1,13,5,na,na,#¡DIV/0!,12,2,,,
162,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,4,"8,5-6,9",2,Lessonia trabeculata,1,23,17,na,na,#¡DIV/0!,20,5,,,
163,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,5,"8,5-6,9",1,Lessonia trabeculata,1,30,8,na,na,#¡DIV/0!,17,5,,,
164,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,5,"8,5-6,9",1,Lessonia trabeculata,1,15,11,na,na,#¡DIV/0!,19,5,,,
165,1,kelp,exposed,Quintay,shallow,cata,13-04-16,2,5,"8,5-6,9",2,Lessonia trabeculata,1,8,2,na,na,#¡DIV/0!,5,1,,,
166,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,1,"7,8-6,8",1,Lessonia trabeculata,1,25,8,na,na,#¡DIV/0!,80,4,,,
167,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,1,"7,8-6,8",1,Lessonia trabeculata,1,10,1,na,na,#¡DIV/0!,60,3,,,
168,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,1,"7,8-6,8",2,Lessonia trabeculata,1,20,7,na,na,#¡DIV/0!,30,5,,,
169,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,1,"7,8-6,8",2,Lessonia trabeculata,1,40,,na,na,#¡DIV/0!,60,5,,,
170,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",1,Lessonia trabeculata,1,10,,na,na,#¡DIV/0!,,4,,,
171,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",1,Lessonia trabeculata,1,15,9,na,na,#¡DIV/0!,,4,,,
172,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",1,Lessonia trabeculata,1,15,4,na,na,#¡DIV/0!,,5,,,
173,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",2,Lessonia trabeculata,1,15,6,na,na,#¡DIV/0!,,4,,,
174,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",2,Lessonia trabeculata,1,20,8,na,na,#¡DIV/0!,,4,,,
175,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",2,Lessonia trabeculata,1,26,10,na,na,#¡DIV/0!,,5,,,
176,1,kelp,exposed,Quintay,shallow,tuto,13-04-16,3,2,"7,8-6,8",2,Lessonia trabeculata,1,10,6,na,na,#¡DIV/0!,,4,,,
