Series,Subset,Date,Season,Site,Latitude,Longitude,Transect,station,Temperature,Visbility,Depth,Replicate,Species,Phase,Size(cm),Abundance,no. stipes,Biomass,Holdfast Use,Blade Use ,Cover(%),Frondosity,
76,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
77,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
78,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
79,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
80,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
81,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,aplodactylus punctatus,na,5,1,na,,0,0,na,na,
82,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,3,1,na,,0,0,na,na,
83,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,3,1,na,,0,0,na,na,
84,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,3,1,na,,0,0,na,na,
85,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,3,1,na,,0,0,na,na,
86,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,3,1,na,,0,0,na,na,
87,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,5,1,na,,0,0,na,na,
88,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,helcogrammoides,na,5,1,na,,0,0,na,na,
89,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
90,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,5,1,na,,0,0,na,na,
91,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
92,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
93,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
94,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
95,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
96,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
97,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,15,1,na,,0,0,na,na,
98,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,12,1,na,,0,0,na,na,
99,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,12,1,na,,0,0,na,na,
100,Fish,10-02-15,summer 2014,Quintay,,,1,na,13-14,12,8,na,scartichthys viridis,na,12,1,na,,0,0,na,na,
101,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,1,Crassilabrum crassilabrum,na,0,5,na,na,na,na,na,na,
102,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,1,Brachidonthes granulata,na,0,7,na,na,na,na,na,na,
103,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,1,Rhynchocinetes typus,na,0,7,na,na,na,na,na,na,
104,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,1,Argobuccinum sp.,na,0,1,na,na,na,na,na,na,
105,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,2,Crassilabrum crassilabrum,na,0,1,na,na,na,na,na,na,
106,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,2,Rhynchocinetes typus,na,0,1,na,na,na,na,na,na,
107,Invertebrates,10-02-15,summer2014,Quintay,,,1,1,13-14,12,12,2,Patiria chilensis,na,0,2,na,na,na,na,na,na,
108,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,1,Rhynchocinetes typus,na,0,2,na,na,na,na,na,na,
109,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,1,Homalapsis plana,na,0,2,na,na,na,na,na,na,
110,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,1,Crassilabrum crassilabrum,na,0,2,na,na,na,na,na,na,
111,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,1,Eatoniella spp,na,0,15,na,na,na,na,na,na,
113,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Eatoniella spp,na,0,24,na,na,na,na,na,na,
114,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Patiria chilensis,na,0,1,na,na,na,na,na,na,
115,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Rhynchocinetes typus,na,0,1,na,na,na,na,na,na,
116,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Homalapsis plana,na,0,,na,na,na,na,na,na,
117,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Pagurus sp.,na,0,1,na,na,na,na,na,na,
118,Invertebrates,10-02-15,summer2014,Quintay,,,1,2,13-14,12,12,2,Tricolia spp,na,0,1,na,na,na,na,na,na,
120,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,1,Eatoniella spp,na,0,52,na,na,na,na,na,na,
121,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,1,Chiton spp.,na,0,1,na,na,na,na,na,na,
122,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,1,Argobuccinum sp.,na,0,1,na,na,na,na,na,na,
123,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,1,Tricolia spp,na,0,4,na,na,na,na,na,na,
124,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,2,Patiria chilensis,na,0,1,na,na,na,na,na,na,
125,Invertebrates,10-02-15,summer2014,Quintay,,,1,3,13-14,12,12,2,Tricolia spp,na,0,24,na,na,na,na,na,na,
126,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,Patiria chilensis,na,0,1,na,na,na,na,na,na,
127,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,Argobuccinum sp.,na,0,1,na,na,na,na,na,na,
128,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,Rhynchocinetes typus,na,0,3,na,na,na,na,na,na,
129,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,Eatoniella spp,na,0,10,na,na,na,na,na,na,
130,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,nudibranquio,na,0,1,na,na,na,na,na,na,
131,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,1,Tegula tridentata,na,0,5,na,na,na,na,na,na,
132,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Rhynchocinetes typus,na,0,1,na,na,na,na,na,na,
133,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Patiria chilensis,na,0,3,na,na,na,na,na,na,
134,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,nudibranquio,na,0,2,na,na,na,na,na,na,
135,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Fissurella spp.,na,0,1,na,na,na,na,na,na,
136,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Chiton spp.,na,0,1,na,na,na,na,na,na,
137,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Tegula tridentata,na,0,20,na,na,na,na,na,na,
138,Invertebrates,10-02-15,summer2014,Quintay,,,1,4,13-14,12,12,2,Argobuccinum sp.,na,0,2,na,na,na,na,na,na,
139,Invertebrates,10-02-15,summer2014,Quintay,,,1,5,13-14,12,12,1,Fissurella spp.,na,0,2,na,na,na,na,na,na,
140,Invertebrates,10-02-15,summer2014,Quintay,,,1,5,13-14,12,12,1,Brachidonthes granulata,na,0,4,na,na,na,na,na,na,
141,Invertebrates,10-02-15,summer2014,Quintay,,,1,5,13-14,12,12,1,Pagurus sp.,na,0,10,na,na,na,na,na,na,
142,Invertebrates,10-02-15,summer2014,Quintay,,,1,5,13-14,12,12,2,Tegula tridentata,na,0,10,na,na,na,na,na,na,
143,Invertebrates,10-02-15,summer2014,Quintay,,,1,6,13-14,12,12,1,Patiria chilensis,na,0,2,na,na,na,na,na,na,
144,Invertebrates,10-02-15,summer2014,Quintay,,,1,6,13-14,12,12,1,Fissurella spp.,na,0,2,na,na,na,na,na,na,
146,Invertebrates,10-02-15,summer2014,Quintay,,,1,6,13-14,12,12,2,Patiria chilensis,na,0,2,na,na,na,na,na,na,
147,Invertebrates,10-02-15,summer2014,Quintay,,,1,6,13-14,12,12,2,Tricolia spp,na,0,9,na,na,na,na,na,na,
148,Invertebrates,10-02-15,summer2014,Quintay,,,1,6,13-14,12,12,2,Fissurella spp.,na,0,1,na,na,na,na,na,na,
149,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,1,Patiria chilensis,na,0,5,na,na,na,na,na,na,
150,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,1,Crassilabrum crassilabrum,na,0,7,na,na,na,na,na,na,
151,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,1,Brachidonthes granulata,na,0,32,na,na,na,na,na,na,
152,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,1,Fissurella spp.,na,0,2,na,na,na,na,na,na,
153,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,2,Argobuccinum sp.,na,0,1,na,na,na,na,na,na,
154,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,2,Tricolia spp,na,0,2,na,na,na,na,na,na,
155,Invertebrates,10-02-15,summer2014,Quintay,,,1,7,13-14,12,12,2,Crassilabrum crassilabrum,na,0,2,na,na,na,na,na,na,
156,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Fissurella spp.,na,0,1,na,na,na,na,na,na,
157,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Rhynchocinetes typus,na,0,5,na,na,na,na,na,na,
158,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Homalapsis plana,na,0,1,na,na,na,na,na,na,
159,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Crassilabrum crassilabrum,na,0,2,na,na,na,na,na,na,
160,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Tegula tridentata,na,0,12,na,na,na,na,na,na,
161,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Pagurus sp.,na,0,2,na,na,na,na,na,na,
162,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,1,Argobuccinum sp.,na,0,1,na,na,na,na,na,na,
163,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,2,Rhynchocinetes typus,na,0,3,na,na,na,na,na,na,
164,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,2,Homalapsis plana,na,0,1,na,na,na,na,na,na,
165,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,2,Tegula tridentata,na,0,20,na,na,na,na,na,na,
166,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,2,Pagurus sp.,na,0,2,na,na,na,na,na,na,
167,Invertebrates,10-02-15,summer2014,Quintay,,,1,8,13-14,12,12,2,Crassilabrum crassilabrum,na,0,2,na,na,na,na,na,na,
168,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,1,tyrinna nobilis,na,0,1,na,na,na,na,na,na,
169,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,1,Brachidonthes granulata,na,0,17,na,na,na,na,na,na,
170,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,1,Patiria chilensis,na,0,2,na,na,na,na,na,na,
171,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,1,Tegula tridentata,na,0,20,na,na,na,na,na,na,
172,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,2,Tegula tridentata,na,0,8,na,na,na,na,na,na,
173,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,2,Crassilabrum crassilabrum,na,0,3,na,na,na,na,na,na,
174,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,2,Tegula tridentata,na,0,13,na,na,na,na,na,na,
175,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,2,cirripedios,na,0,na,na,na,na,na,na,na,
176,Invertebrates,10-02-15,summer2014,Quintay,,,1,9,13-14,12,12,2,Tricolia spp,na,0,7,na,na,na,na,na,na,
177,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,1,Patiria chilensis,na,0,1,na,na,na,na,na,na,
178,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,1,Fissurella spp.,na,0,1,na,na,na,na,na,na,
179,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,1,Homalapsis plana,na,0,1,na,na,na,na,na,na,
180,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,1,Tegula tridentata,na,0,4,na,na,na,na,na,na,
181,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,2,Crassilabrum crassilabrum,na,0,3,na,na,na,na,na,na,
182,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,2,Patiria chilensis,na,0,5,na,na,na,na,na,na,
183,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,2,Argobuccinum sp.,na,0,2,na,na,na,na,na,na,
184,Invertebrates,10-02-15,summer2014,Quintay,,,1,10,13-14,12,12,2,Fissurella spp.,na,0,2,na,na,na,na,na,na,
185,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,0,na,na,
186,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
187,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
188,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
189,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
190,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
191,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
192,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
193,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
194,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
195,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
196,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
197,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
198,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
199,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
200,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
201,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
202,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
203,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
204,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
205,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
206,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
207,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
